grp,sp,Aud,Reach1+,Reach3+,Reach5+,Reach7+,Reach9+,Reach12+,Reach15+,year,new_reg,after_1m,after_2m,after_3m,after_4m,after_5m,after_6m,Month_01월,Month_02월,Month_03월,Month_04월,Month_05월,Month_06월,Month_07월,Month_08월,Month_09월,Month_10월,Month_11월,Month_12월,ad_id_남20대,ad_id_남30대,ad_id_남40대,ad_id_남50대,ad_id_남60대,ad_id_여20대,ad_id_여30대,ad_id_여40대,ad_id_여50대,ad_id_여60대,log_0,log_1,log_2,log_3,log_4,log_5,log_6,ZSCORE
0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9469675566124528
0,16,4506,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9469675566124528
2,16,44719,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.923399551460192
29,373,498145,18.7,2.0,0.3,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,-0.6052314819046708
66,373,1249154,34.4,7.2,1.4,1.3,0.8,0.0,0.0,2020.0,5.0,2.0,6.0,2.0,2.0,0.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.791759469228055,1.0986122886681098,1.9459101490553128,1.0986122886681098,1.0986122886681098,0.0,1.0986122886681098,-0.16922338658784558
110,373,2309505,45.8,16.1,5.7,1.8,0.3,0.2,0.0,2020.0,5.0,6.0,4.0,6.0,3.0,2.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.791759469228055,1.9459101490553128,1.6094379124341005,1.9459101490553128,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.3492727267618925
83,373,1687493,39.2,10.2,3.7,0.9,0.6,0.0,0.0,2020.0,5.0,2.0,2.0,0.0,3.0,3.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.791759469228055,1.0986122886681098,1.0986122886681098,0.0,1.3862943611198906,1.3862943611198906,1.791759469228055,0.0311046572063714
57,373,1486046,28.3,7.0,2.7,1.1,0.1,0.0,0.0,2020.0,0.0,4.0,2.0,2.0,2.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.6094379124341005,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,1.3862943611198906,-0.2752794097730193
20,373,344408,11.3,2.5,0.3,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,-0.7112875050898445
29,373,552014,15.2,3.7,1.1,0.7,0.0,0.0,0.0,2020.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6931471805599453,1.0986122886681098,1.3862943611198906,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.0,-0.6052314819046708
92,373,1948850,39.4,13.1,4.6,1.8,0.3,0.0,0.0,2020.0,5.0,2.0,6.0,2.0,6.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.791759469228055,1.0986122886681098,1.9459101490553128,1.0986122886681098,1.9459101490553128,0.6931471805599453,1.3862943611198906,0.13716068039154508
